rank	node_id	address	label	in_degree
0	3524394	1dice8EMZmqKvrGE4Qc9bUFf9PX3xaYDp	SatoshiDice	1103830
1	95827779	3J1MmSusQRs7b4XA6hxK37t6PYK5gwf3VH	null	742322
2	3517636	1dice97ECuByXAvqXpaYzSaQuPVvrtmz6	SatoshiDice	632236
3	100785219	1B7d55SnifEa5thYcGYXosuYXQVXavEPxW	null	497108
4	125439742	3QuHejbAAbeRoTkH5wBwGzMipf4R3zpQga	null	496076
5	12376410	1MPxhNkSzeTNTHSZAibMaS8HS1esmUL1ne	null	444783
6	71095322	12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P	Poloniex.com	439913
7	184194374	1FvtWwP3ePJDeR6K7ZePGujUuusUTds8Vy	null	399689
8	38033128	1N52wHoVR79PMDishab2XmRHsbekCdGquK	Bittrex.com	330474
9	155646996	3JnFBLxDCutY3bZEZsPTkHAaUA1bxmEMX2	null	319935
10	3517367	1dice9wcMu5hLF4g81u8nioL5mmSHTApw	SatoshiDice	316722
11	79993499	3HNSiAq7wFDaPsYDcUxNSRMD78qVcYKicw	null	304830
12	3534212	1dice7fUkz5h4z2wPc1wLMPWgB5mDwKDx	SatoshiDice	254404
13	27185791	1HWqsgnSd12Gv8SpoUMi1Cj8hp79BTSpW7	ePay.info	240628
14	3524243	1dice7W2AicHosf5EL3GFDUVga7TgtPFn	SatoshiDice	230031
15	109338982	1XFR1USgYp7gDHPhuNfqVjGF2hcKyLxo2	null	210321
16	124500408	16QgkRgJ5ZpQnG8JjCWdLnb3HBkDqySAh3	null	196731
17	109338980	1XFR2aG52sJKnQHrRbE6TpW4G169EUm4K	null	193880
18	49817007	1AJNru19DVj1jgYL4LGCZgVC622uKf49z8	null	192911
19	137348145	1AKEmvFDy2yVtPbh1jzcrSSsepbhMg85B6	null	186591
20	120614202	1P7WDAepceUtbtqdfusRarQGDLskdhQWG1	BTC-e.com	174202
21	70747120	1L6zTihRVecCjisYkn6BuXKrwvg8hJFC4f	null	171774
22	103192544	1SWP9ijTU7VQUd41pJUp3qvGNY5uzP3qQ	null	169765
23	133731554	1XFR5EJUMXDx5haP33bBpeRKZcFcibr8w	null	164748
24	3525822	1dice6YgEVBf88erBFra9BHf6ZMoyvG88	SatoshiDice	162837
25	128830391	37p9pUugydmoLpQyFLLqGAgjWmUFERa1Pq	null	161211
26	133731556	1XFR6Wp9wfXUJikaYFH5wfF6WSgTt9By3	null	157846
27	57877217	13MWHNn6n5NyUhgNeuaP28YGCFqWBZGNrZ	BTC-e.com	143476
28	41780006	16RVuv5Cpxn6bWSWHism5jv5tMKTmWqbAg	BTC-e.com	142043
29	100755392	19krt2bUAoa3zM4uhGJn1qzykvuPZRFJSd	null	139076
30	55538605	1GzwuJpjR7UJaxJkXWvQ8xZYVTUcD2MN16	null	135320
31	156303521	3HKt9kFgjvnzu5Pi25Tqo4LAvKsrxskWrX	null	134163
32	5029468	1dicec9k7KpmQaA8Uc8aCCxfWnwEWzpXE	SatoshiDice	133018
33	259347637	1FbPBRN8s6rmpwZfjKCY7QXz68YxpEUYEZ	null	131490
34	131841696	12BEXKvW87FyVFmsUCUS2boLYEN19oWQCz	BTC-e.com	129966
35	103191343	1SWP8Lg3mtfbVNes6K13FMxA12s79E6hw	null	127513
36	107317621	3JCEg58NFBuwdoUP9M3HcnUQN4D4K5A9gE	null	125261
37	105632219	18rdKmjrg1EawxgiVT3ikLExj6GWS2MNCk	null	124892
38	99120298	1HFgq6vnpwJxvaDsz8HGA2TgjYYU8HtyBQ	null	124856
39	48039546	1AeFq5RbXiY1vsRqZjcF7fVodCxXwmDcMX	BTC-e.com	122713
40	16274040	14GwFgC11G5pPoo18q569EtkJwSGJKQisJ	null	119524
41	5208613	17Pe4FLUGL2iEWhDgqzN7xF3mYaNugpHsC	null	118016
42	189863747	1DDW9zSAGq41An28rYer8zG1pDFsKRq1Gt	null	115630
43	3535501	1dice7EYzJag7SxkdKXLr8Jn14WUb3Cf1	SatoshiDice	112417
44	79091586	3ExP6jj9aphKGCSEoc3PTyPj311yfSXTi8	null	111853
45	265457016	326DgM2u3F34ZLcUUFes4TeXdiaVCNus5h	Bitstamp.net	111617
46	5028570	1dicegEArYHgbwQZhvr5G9Ah2s7SFuW1y	SatoshiDice	111245
47	123782013	3MyCd2bbU9AJEbha74r4dqPdVWxZQccyeu	null	110665
48	43113750	1BKdYo8kdFxwYbDVDrF7RJCKUTr9LiQytu	BTC-e.com	110638
49	29193800	1ABR7zQKUwd6bm6Yn4vMdKcZeS5rvWTKKN	null	109239
50	148450520	13vHWR3iLsHeYwT42RnuKYNBoVPrKKZgRv	null	108910
51	18332806	1Czvo2GkbBR9DTUfwmxvFYT5MwjRrPJKhc	null	106723
52	79996355	18D4G4mByUWhQTYc53uGca1jGmEikaYZHe	null	106409
53	99914083	1PBvTJ4LoVntXTEkmJHsMq7LFYV2uRtRj9	null	103627
54	81584121	19FptcoKUngxam9TWMNU5ELxq1tRgwrTbw	BTC-e.com	103156
55	121355022	1XFR4GwFoQKosLjBgxw6mopeCMUD3296E	null	100580
56	149973395	1Lzba7jLGLFRUNXJVpvRoBTdYDpBqJrEZX	CoinPayments.net	96620
57	112725261	1PMii38r8i1Nk2GjtPX1JcJrXR81Xw6tCZ	null	96390
58	77276119	16sodrXp3pC4A8L8xHnbFQ6uWwxN8b12Zq	null	94852
59	120799799	3Kfke8cAB7fbxnBmpSyWtK6tWMFFt1frzs	null	94352
60	92716074	1SWP7PDLvifKDoidafFnmtXqXhmfTic7T	null	92921
61	121338402	1XFR31KMHLrAWkVGJEZjuHcs5isjaaKbH	null	90225
62	44178357	17o5zDFGNvP5H2iWd7aWbhacwS1HKDE4i9	Bter.com	90102
63	5003442	12WfzWsJBrGEzBYstcUZAfQGPZg5KeqGJh	null	89979
64	181182364	1TipsnxGEhPwNxhAwKouhHgTUnmmuYg9P	null	89328
65	146205092	1ArG3JwEbF4WrCiEnXQXUAgQumAVzqnQHD	null	88419
66	103187690	1HVgipffWqRhRWJqapeN23RGigzpxtGW6n	null	88115
