rank	node_id	address	label	out_degree
0	205346431	17A16QmavnUfCW11DAApiJxp7ARnxN5pGX	Poloniex.com	1102954
1	70250912	3CD1QW6fjgTwKq3Pj97nty28WZAVkziNom	null	703361
2	3524394	1dice8EMZmqKvrGE4Qc9bUFf9PX3xaYDp	SatoshiDice	682282
3	62703478	38DPYmsa7RXwLrhpTP6udrfSiGn5dzdGAC	MoonBit.co.in	653474
4	21517771	175o52E64wHQumzfLFnKrPaukJsvo9pgMb	ePay.info	373109
5	3517636	1dice97ECuByXAvqXpaYzSaQuPVvrtmz6	SatoshiDice	365333
6	70253534	1ANE61inQtUb4ZpJJojE4LwmQMXeh239Fk	FaucetBOX.com	285009
7	71095322	12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P	Poloniex.com	273412
8	148450520	13vHWR3iLsHeYwT42RnuKYNBoVPrKKZgRv	null	262035
9	175780948	1P9RQEr2XeE3PEb44ZE35sfZRRW1JHU8qx	null	261793
10	38033128	1N52wHoVR79PMDishab2XmRHsbekCdGquK	Bittrex.com	242708
11	67923726	1KJ7XDJYwvduWWNVX8LkJGGzRRNACiPQ63	FaucetBOX.com	238120
12	90537969	3LguMyojocArdSbnNHcscjQogxR1ZSCqak	null	229960
13	59857547	1KmiZEZvDnPR5TJu4G3BxcASHhJbKEJuTa	FaucetBOX.com	217439
14	87278313	18G3nFT58Zu6Wywa1SRGMHN48xExN7FUEj	FaucetBOX.com	217021
15	62846077	1Jxwuora3Yb1fT6jAn5EADY2Ky9qYQBgaH	FaucetBOX.com	216439
16	104846490	1M4t9tVrz6XuB4qNLpJa15J4E2CKmgyE5T	FaucetBOX.com	215734
17	112725261	1PMii38r8i1Nk2GjtPX1JcJrXR81Xw6tCZ	null	215147
18	75477334	1DTq88861GuHswQdzaxREBemWt6A4UX4ot	FaucetBOX.com	214868
19	41509825	12Zdr4CqdaLCngZJgLWVLYbuWNc2NNKKk5	null	209722
20	155524809	1MFXYK1XucKFfhPhW9HDHD3vsM9BKey4qm	Poloniex.com	209099
21	64161659	1435GnSZkLkxYMDVhbYLNZe7QDE1yd8iJR	FaucetBOX.com	206596
22	73303457	17NKNPu7JXwcCCnjvrphnUQR7qBjBKsiXS	FaucetBOX.com	205297
23	208851388	3QQB6AWxaga6wTs6Xwq8FYppgrGinGu15f	null	203105
24	81830314	1FVH5meiuyLTGqFGgVD4qV1MD7wp838xuD	FaucetBOX.com	202458
25	85833142	1FAv42GaDuQixSzEzSbx6aP1Kf4WVWpQUY	null	198185
26	80918318	1JJgRQLjxYLc9moExbawGUqUpH5KdptnE2	FaucetBOX.com	196260
27	67553889	16aWenm6fhBvwXTk4VVfYh9PASNXowV51	FaucetBOX.com	195058
28	85965928	1BYRSTk5NKTg1HyNV4y33krkf4DtMJJiX3	FaucetBOX.com	194822
29	99522285	1Q2C3sEbBR2FF2SZ3B4XbZTUtfFrLkRagZ	FaucetBOX.com	193392
30	106819821	1DVNvER6U93CwZyvdNNuzxhTiid4P3kkKw	FaucetBOX.com	179097
31	62703508	3L6ucV5cpXmGgnoik5P7wwczvES9ezuLsL	MoonBit.co.in	174661
32	93474278	1GSoVqR48svVFdcWgH1FghoTSpdEfXhX1v	FaucetBOX.com	174445
33	52305410	129EZEk9iu73adHScv3Qu4QibtsTAWSrus	FaucetBOX.com	173482
34	96815310	16FR5fRAZJ4u3rxDfCJ28hntcFiNtiq9fW	FaucetBOX.com	172606
35	66486590	17kgGStxtygKh7UcWFGKz1ZocPLfN8vJC2	FaucetBOX.com	169906
36	107298962	14of8cb5BiZas2UwALpBhsnjc97xHDvMMQ	FaucetBOX.com	165187
37	3517367	1dice9wcMu5hLF4g81u8nioL5mmSHTApw	SatoshiDice	160981
38	95551641	143XSYLKiqedJspUMUx6JYaCHqsWLsMFoR	FaucetBOX.com	160394
39	108591478	1MoYyajsjhVJE5BfDviFF8UbuefziGeDJy	null	159889
40	3534212	1dice7fUkz5h4z2wPc1wLMPWgB5mDwKDx	SatoshiDice	159682
41	114659719	3C9V2WJ5457eVP868hjYjCBAAyX7NUqSQN	null	158782
42	97601114	123KDU1b3PNfP7PHDvcXsgGVxHvMdskh2Y	FaucetBOX.com	158217
43	71984481	1F4addYM4wXH3jFw4Pz5p6TJa79SKED1hp	FaucetBOX.com	157470
44	67136157	15xN5irSnVUxBACVxdHMuxSnbqpKNAiiy6	FaucetBOX.com	156118
45	6861682	1969VR2qCchXMW94tpcYirbVLUfFw4Pw7b	ePay.info	152646
46	174058706	3AhpkBp2xR2h1JLnob71aZvyT8TN5tFxjt	null	151705
47	54329170	1kE6S2GK2Zo9heM4W7Kf1vfCCtESvVYuz	FaucetBOX.com	151212
48	117381668	1QDhHw4VJxEiyXogKuoPbE2yukTyUtRvZT	FaucetBOX.com	150708
49	120385431	1KfNpZTbam5dLXuGzFeCEX1ecbzkWx8Tv2	FaucetBOX.com	148719
50	104272369	1AD7L3Vs6WCDLYo5QRvatdp5zyq2YLS25J	FaucetBOX.com	147064
51	60061694	1BwJgbMKb7nz4GZ3uTDTbpovzznTrBbyJE	null	146276
52	72212130	1NpgxU2B4HzvPy3TZ4fCi2jByWePWeRWud	FaucetBOX.com	145949
53	130120323	1GyssvRXZUQiL2EQDsbGomoA8vxEZytUGd	FaucetBOX.com	145260
54	71310037	1QJKQu2DCieNU5xPGrFACgGbdn8HTxnHyd	FaucetBOX.com	138968
55	131453323	143nb3DcvLWhr3WoV6P2hnM1zL9FXuviXN	FaucetBOX.com	138299
56	78841309	1drneMSgDw5oFPXrL4RgY2opCdpDyREZL	FaucetBOX.com	137222
57	3524243	1dice7W2AicHosf5EL3GFDUVga7TgtPFn	SatoshiDice	136945
58	70033274	1PhRCPKyM5CCiNC8yP5krGG1UNsjk2iQgz	FaucetBOX.com	136464
59	84724758	33uVuTnQyaCTeK8MwZdaxgLNJCECwvxZQE	null	135148
60	119800039	1MeDVLhjov9r6YGiMKLC4GFPYUW8k8dRkL	FaucetBOX.com	130473
61	27441709	1Enjoy1C4bYBr3tN4sMKxvvJDqG8NkdR4Z	null	128514
62	46685558	19iVyH1qUxgywY8LJSbpV4VavjZmyuEyxV	Huobi.com	124625
63	95218990	19AcLEnoiQWoskfke1YDeweoKMUERBDpHx	FaucetBOX.com	124230
64	76151008	17NXWprdU9KMsixQpi6FopEk2VWijBqq4R	FaucetBOX.com	124195
65	66345804	1P1Zt8WHHxu3FEAAcBFd9GcmqGpCX6MmcB	FaucetBOX.com	122904
66	72888572	1BxCfS4oWgTkZe1NBBrQjUHf6kCncDB4R8	FaucetBOX.com	122779
