rank	node_id	node_type	entity	label	harmonic
0	398678793	TX	b048e1efa42b4e2f63ffd00561f65ec0f192c386863ea847ef5b4da714585be1	null	0.09646111838309875
1	398675631	TX	1f5cddd724b13bd223a42d668981b40384c6694a458c1905baba711afc35dd8e	null	0.09534918467953796
2	359091722	ADDRESS	3NDcfdiPQjuooE1YDxwaHWc3bYSXVFZEYS	null	0.09498238382311709
3	359091722	TX	5700961798597e71fc513477d05dfaa710a760cbefcb6735be2460306ad70743	null	0.09498238382311709
4	348982417	ADDRESS	3AvKesSxJoHfeXMuePn5czmCYjmeHMz9Ck	null	0.09485738009879952
5	348982417	TX	b8b3e63815005f176853d30ad01ae7c1b447f937b9a2b0ce64a4a4dac7133b8c	null	0.09485738009879952
6	205346431	ADDRESS	17A16QmavnUfCW11DAApiJxp7ARnxN5pGX	Poloniex.com	0.09433688287775394
7	339811338	ADDRESS	1GmqU62aUAxDVDgvPtPT7pkwvT5jyBTndD	null	0.09432470810865283
8	339811338	TX	b30679bf3c688ad8f8b674a25c33399be23234934a488c04b8666f9486c1e5f3	null	0.09432470810865283
9	70250912	ADDRESS	3CD1QW6fjgTwKq3Pj97nty28WZAVkziNom	null	0.09418212036288455
10	477583756	TX	bd4bcae76d733b8af71e2e3da49ef09491a22115c3eebc5b08afbc6a51dbf5a9	null	0.09386167511693833
11	394971094	TX	dd9f6bbf80ab36b722ca95d93268667a3ea6938288e0d4cf0e7d2e28a7a91ab3	null	0.09380986278101038
12	62703478	ADDRESS	38DPYmsa7RXwLrhpTP6udrfSiGn5dzdGAC	MoonBit.co.in	0.09362495374801366
13	433434686	TX	8a6c868d32cdc9a4b3f561034939dd4662411eb50ad158e16b1afd725e67b40d	null	0.0935421316593685
14	340985825	ADDRESS	1EQgVUYfqyFMFtk8zbH54UEQL28o8Ru6Ar	null	0.09353612441994433
15	340985825	TX	cae4bd51836924d70e7fe5a007890bc42b81ca1241ab40b9b61337241a0d59e9	null	0.09353612441994433
16	349528552	ADDRESS	1HHMVvPTSEvoSjdWKnuGSAHyhFsRYMfSe5	null	0.09353556491243945
17	349528552	TX	d990fc1d2ad46d2afb9fdc2b8566d7ea8b8141bfd6069a52188aa3ee261d7dc3	null	0.09353556491243945
18	348410983	ADDRESS	3C6VZpV3TKiDzrEWUwRgWguGAmdDqvwbsx	null	0.09349033750355634
19	348410983	TX	8ff7f2338021bff5bf9c5af7401906fb4d9daad66b965161fab8db7ee25052dc	null	0.09349033750355634
20	352195212	ADDRESS	1KSchYrJrwWa1D5YkB1Kgsei1ShGPbPHDW	null	0.09328215570049178
21	352195212	TX	28a240b139c84cbcab5b88c0fdcbe7fce7b0ea253311a6980a3e370305a2fbbe	null	0.09328215570049178
22	13251666	ADDRESS	1FFirnLctcZxVx5otnLNZ4dDGUkMBM4vNr	null	0.09323336679725461
23	148450520	ADDRESS	13vHWR3iLsHeYwT42RnuKYNBoVPrKKZgRv	null	0.0930985714909696
24	356637594	ADDRESS	3FTDBTZK95hKJuFZ7zbtbCdypYh3pwhJjY	null	0.09289301491372627
25	356637594	TX	e5a5d843109bfa4e4cbb09674ae63a66939a4f7cde1c8f2e3500b4f8a3915e73	null	0.09289301491372627
26	340983243	ADDRESS	3NqLgY4kef3csiJSgQ5rt9nVyBceTsdvDc	null	0.09280687645805111
27	340983243	TX	914a030d0c3ea7f71a5159d39ecc2f1f0aacb6ceda7c32a46aed7da5e4b21a64	null	0.09280687645805111
28	49087757	ADDRESS	1DiRy9Giiq1GCkAD7VMSrXoKVe2dimnovm	null	0.09270708679136776
29	44666752	ADDRESS	1LaxoTrQy51LnB289VmoSAgN6J6UrJbfL9	ePay.info	0.09238074730941848
30	350204862	ADDRESS	1CypnqPpY5razcJj2kqw62BYjdRUpHt5d2	null	0.09222204103397592
31	350204862	TX	5232b80a9d1939d9355293575fc3043e375c771d2447cfbcafc60dc9bf33c1c0	null	0.09222204103397592
32	401918195	TX	c7bc4afa514a3907dcc4bff15032f9ac1875910c714bc06a331812e1292105cd	null	0.09221023069002592
33	401716905	TX	166ba1ca1ba1d4c6809428045dd5060503df700234dab0e0aa8883c542f4e3b2	null	0.09220920369037726
34	402171091	TX	ce64521aa0c0c93adb25a224f640d301ffc93ab3e9a1884a3438153ada4bb739	null	0.09220316217847772
35	47996743	ADDRESS	11ohjiVPjtBk3AxXYi6Hu1u1nDy46mnXY	null	0.09216410613258202
36	401535330	TX	8d7b808dbe83ac6b968cb1ade37894df466c3d04632ee348395fc71add7f96dd	null	0.09214665424808972
37	350609681	ADDRESS	199sYCvFXjveaa1BsmZq63EgNj5VfvPPvK	null	0.09212761355888222
38	350609681	TX	d52ade46e21a0503087d091f5424b05e6931c6b34d0981c770e932f04c31217b	null	0.09212761355888222
39	398767012	TX	a1b45b0044038678dc43fd3d3fcae4da1822123ae78dbcfecf29e7f970cc1233	null	0.09212508214486746
40	398978794	TX	f7e38dfa974f76762020edb80f04b077b0acd5d4085bcbfe2e1f5e7b54a2a26d	null	0.09212508214486746
41	359510968	ADDRESS	1FUGTPkVronPppDNcZ71euot9tz8NaR6Xz	null	0.09211374030666955
42	359510968	TX	bfa62f34565d6caa938dceb7fdee84c689350638430c8c96f80845ba555d2a9c	null	0.09211374030666955
43	401298391	TX	191f72df6f161e6f8d6e93f9fc23c04e1df1276a065e21e8db525e67105e52e2	null	0.09211085269609245
44	399164922	TX	69fc062ad4f65b2dc114acc7d95d60a5d6afe2546afbc192d4439463512538e4	null	0.09210306667660803
45	400705342	TX	4017416e862e1ae2839e3b11085f6563e0f22b354e8a0333e528963f3acbd0c2	null	0.09208213686792796
46	400871778	TX	91c5430a367fd4c95cee6d19d47c4b682f75478b7ec17238ddcd196fbe3c2c6d	null	0.09208213686792796
47	401058974	TX	97ae6cdf61a8e4824cb688ce6352124eb676c0f1ad2224e15f287c71c065ac18	null	0.09208213686792796
