rank	node_id	node_type	entity	label	in_degree
0	30560472	ADDRESS	1NxaBCFQwejSZbQfWcYNwgqML5wWoE3rK4	LuckyB.it	1891356
1	3524394	ADDRESS	1dice8EMZmqKvrGE4Qc9bUFf9PX3xaYDp	SatoshiDice	1595516
2	3517636	ADDRESS	1dice97ECuByXAvqXpaYzSaQuPVvrtmz6	SatoshiDice	1102944
3	70250912	ADDRESS	3CD1QW6fjgTwKq3Pj97nty28WZAVkziNom	null	876799
4	2536929	ADDRESS	1VayNert3x1KzbpzMGt2qdqrAThiRovi8	DeepBit.net	782797
5	3517367	ADDRESS	1dice9wcMu5hLF4g81u8nioL5mmSHTApw	SatoshiDice	594201
6	148450520	ADDRESS	13vHWR3iLsHeYwT42RnuKYNBoVPrKKZgRv	null	505951
7	19501306	ADDRESS	1LuckyR1fFHEsXYyx5QK4UFzv3PEAepPMK	LuckyB.it	485503
8	3534212	ADDRESS	1dice7fUkz5h4z2wPc1wLMPWgB5mDwKDx	SatoshiDice	434482
9	12376410	ADDRESS	1MPxhNkSzeTNTHSZAibMaS8HS1esmUL1ne	null	405964
10	3524243	ADDRESS	1dice7W2AicHosf5EL3GFDUVga7TgtPFn	SatoshiDice	394699
11	175780948	ADDRESS	1P9RQEr2XeE3PEb44ZE35sfZRRW1JHU8qx	null	365909
12	79993499	ADDRESS	3HNSiAq7wFDaPsYDcUxNSRMD78qVcYKicw	null	364311
13	165819173	ADDRESS	366Dgw4pi3rnvu5zizVWZF6nijWxZWc6RA	null	346986
14	3525822	ADDRESS	1dice6YgEVBf88erBFra9BHf6ZMoyvG88	SatoshiDice	337534
15	49673938	ADDRESS	3MfN5to5K5be2RupWE8rjJHQ6V9L8ypWeh	null	315309
16	19485043	ADDRESS	1LuckyG4tMMZf64j6ea7JhCz7sDpk6vdcS	LuckyB.it	288940
17	185643109	ADDRESS	3PUuiYu5cFMsagkffArrKZzQFtWdHttU3x	null	282320
18	15838096	ADDRESS	1Fi57hAqyYYwaQVdA7a9qSKfiukBbt31G3	BetcoinDice.tm	262316
19	5028176	ADDRESS	1diceDCd27Cc22HV3qPNZKwGnZ8QwhLTc	SatoshiDice	249018
20	155646996	ADDRESS	3JnFBLxDCutY3bZEZsPTkHAaUA1bxmEMX2	null	243292
21	3526385	ADDRESS	1dice5wwEZT2u6ESAdUGG6MHgCpbQqZiy	SatoshiDice	238564
22	19500786	ADDRESS	1LuckyY9fRzcJre7aou7ZhWVXktxjjBb9S	LuckyB.it	232804
23	27185791	ADDRESS	1HWqsgnSd12Gv8SpoUMi1Cj8hp79BTSpW7	ePay.info	226818
24	18450757	ADDRESS	1changemCPo732F6oYUyhbyGtFcNVjprq	BitZillions.com	226259
25	3535501	ADDRESS	1dice7EYzJag7SxkdKXLr8Jn14WUb3Cf1	SatoshiDice	209865
26	6137696	ADDRESS	1NDpZ2wyFekVezssSXv2tmQgmxcoHMUJ7u	null	207624
