rank	node_id	node_type	entity	label	out_degree
0	3524394	ADDRESS	1dice8EMZmqKvrGE4Qc9bUFf9PX3xaYDp	SatoshiDice	1600278
1	19501306	ADDRESS	1LuckyR1fFHEsXYyx5QK4UFzv3PEAepPMK	LuckyB.it	1164759
2	3517636	ADDRESS	1dice97ECuByXAvqXpaYzSaQuPVvrtmz6	SatoshiDice	1104482
3	70250912	ADDRESS	3CD1QW6fjgTwKq3Pj97nty28WZAVkziNom	null	812892
4	2536929	ADDRESS	1VayNert3x1KzbpzMGt2qdqrAThiRovi8	DeepBit.net	772504
5	30560472	ADDRESS	1NxaBCFQwejSZbQfWcYNwgqML5wWoE3rK4	LuckyB.it	623484
6	3517367	ADDRESS	1dice9wcMu5hLF4g81u8nioL5mmSHTApw	SatoshiDice	595175
7	148450520	ADDRESS	13vHWR3iLsHeYwT42RnuKYNBoVPrKKZgRv	null	500921
8	3534212	ADDRESS	1dice7fUkz5h4z2wPc1wLMPWgB5mDwKDx	SatoshiDice	436885
9	3524243	ADDRESS	1dice7W2AicHosf5EL3GFDUVga7TgtPFn	SatoshiDice	395084
10	19500786	ADDRESS	1LuckyY9fRzcJre7aou7ZhWVXktxjjBb9S	LuckyB.it	365626
11	175780948	ADDRESS	1P9RQEr2XeE3PEb44ZE35sfZRRW1JHU8qx	null	352370
12	3525822	ADDRESS	1dice6YgEVBf88erBFra9BHf6ZMoyvG88	SatoshiDice	340827
13	165819173	ADDRESS	366Dgw4pi3rnvu5zizVWZF6nijWxZWc6RA	null	335077
14	19485043	ADDRESS	1LuckyG4tMMZf64j6ea7JhCz7sDpk6vdcS	LuckyB.it	321032
15	49673938	ADDRESS	3MfN5to5K5be2RupWE8rjJHQ6V9L8ypWeh	null	310804
16	3526385	ADDRESS	1dice5wwEZT2u6ESAdUGG6MHgCpbQqZiy	SatoshiDice	251787
17	5028176	ADDRESS	1diceDCd27Cc22HV3qPNZKwGnZ8QwhLTc	SatoshiDice	250249
18	185643109	ADDRESS	3PUuiYu5cFMsagkffArrKZzQFtWdHttU3x	null	229249
19	3535501	ADDRESS	1dice7EYzJag7SxkdKXLr8Jn14WUb3Cf1	SatoshiDice	211486
20	3525858	ADDRESS	1dice1e6pdhLzzWQq7yMidf6j8eAg7pkY	SatoshiDice	205389
21	208851388	ADDRESS	3QQB6AWxaga6wTs6Xwq8FYppgrGinGu15f	null	203131
22	6137712	ADDRESS	1Bd5wrFxHYRkk4UCFttcPNMYzqJnQKfXUE	null	198281
23	6137696	ADDRESS	1NDpZ2wyFekVezssSXv2tmQgmxcoHMUJ7u	null	198174
24	6137546	ADDRESS	15fXdTyFL1p53qQ8NkrjBqPUbPWvWmZ3G9	null	198170
25	6137545	ADDRESS	14719bzrTyMvEPcr7ouv9R8utncL9fKJyf	null	198054
26	6136303	ADDRESS	18uvwkMJsg9cxFEd1QDFgQpoeXWmmSnqSs	null	198025
27	6137547	ADDRESS	1J4yuJFqozxLWTvnExR4Xxe9W4B89kaukY	null	198014
28	6137687	ADDRESS	13h1DP2Boo9TAsenphroACxhNy7pGxDYXd	null	197972
29	6137730	ADDRESS	1Bqm5MDo82m1FTxV3qYNUUEKnESPRhk9jd	null	197909
30	6137664	ADDRESS	1HjDauL2kth6KJUz5vX198Nvp1xN1hgYRb	null	197818
31	6137713	ADDRESS	1HVpyjYEPwQhvRQ3dL8tGe9kiydti616sX	null	197818
32	6137722	ADDRESS	1GoK6fv4tZKXFiWL9NuHiwcwsi8JAFiwGK	null	197694
33	6137718	ADDRESS	17NKcZNXqAbxWsTwB1UJHjc9mQG3yjGALA	null	197637
