rank	node_id	tx_hash	output_id	in_degree
0	230725305	52539a56b1eb890504b775171923430f0355eb836a57134ba598170a2f8980c1	0	20000
1	230843652	30b3b19b4d14fae79b5d55516e93f7399e7eccd87403b8dc048ea4f49130595a	0	20000
2	230844249	cf1032c2213e6faea04f1813aa6890e7f588bb378cb98e7425aec83c11d4457c	0	20000
3	230873885	c9fe64681c9a12795586a3ae7c5e94b585032f67847c7f9c42e1b979a1e2959b	0	20000
4	230910485	8dabbf51f78c1e7286866af1de403118c5ddbe57ca93b54859245916d2bf1063	0	20000
5	230926432	f2e197a6d8d088b13afd0f99d4027da36a9413b9f3d7730ba5278132ebc950a7	0	20000
6	230994042	740ac533882221099e7202bbdafbb99ec589c6e74fd2fe7ca1274b46ea4f0a96	0	20000
7	231014487	dd6067e71c04cb62f8e5aa52ecc99b01ffcd551a52727d046a2fabb14eb39b4d	0	20000
8	231081168	5f4d2593c859833db2e2d25c672a46e98f7f8564b991af9642a8b37e88af62bc	0	20000
9	230703547	63ad681f1577a7541b3659a9ba21459466160a0cb6d5e068a0a53355489a2009	0	9997
10	217175675	9fdbcf0ef9d8d00f66e47917f67cc5d78aec1ac786e2abb8d2facb4e4790aad6	0	7350
11	217299927	9c667c64fcbb484b44dcce638f69130bbf1a4dd0fbb4423f58ceff92af4219ec	0	7350
12	213785395	bb41a757f405890fb0f5856228e23b715702d714d59bf2b1feb70d8b2b4e3e08	0	5569
13	214921411	5d8875ed1707cfee2221741b3144e575aec4e0d6412eeffe1e0fa07335f61311	0	5569
14	214921413	14dd70e399f1d88efdb1c1ed799da731e3250d318bfdadc18073092aa7fd02c2	0	5569
15	215134429	a684223716324923178a55737db81383c28f055b844d8196c988c70ee7075a9a	0	5569
16	216422325	cb550c9a1c63498f7ecb7bafc6f915318f16bb54069ff6257b4e069b97b367c8	0	5569
17	216220249	5b0a05f12f33d2dc1507e5c18ceea6bb368afc51f00890965efcc3cb4025997d	0	5160
18	213884985	dd49dc50b54b4bc1232e4b68cfdd3d349e49d3d7fe817d1041fff6dd583a6eaf	0	5000
19	213941208	3d724f03e8bcc9e2e3ea79ebe4c6cffca86d85e510742cd6d3ac29d420787a34	0	5000
20	213941753	8bcf8e8d8265922956bda9b651d2a0e993072c9dca306f3a132dcdb95c7cee6e	0	5000
21	214953092	bb75a8d10cfbe88bb6aba7b28be497ea83f41767f4ee26217e311c615ea0132f	0	5000
22	215900162	5e640a7861695fa660343abde52cfe10b5a97dd8fc6ad3c5e4b2b4bb1c8c3dd9	0	5000
23	265339642	54bf51be42ff45cdf8217b07bb233466e18d23fd66483b12449cd9b99c3a0545	0	4925
24	265339643	54bf51be42ff45cdf8217b07bb233466e18d23fd66483b12449cd9b99c3a0545	1	4925
25	265339644	54bf51be42ff45cdf8217b07bb233466e18d23fd66483b12449cd9b99c3a0545	2	4925
26	265079728	6bb39576292c69016d0e0c1fe7871640aab12dd95874d67c46cf3424822f8dfd	0	4909
27	265079729	6bb39576292c69016d0e0c1fe7871640aab12dd95874d67c46cf3424822f8dfd	1	4909
28	265079730	6bb39576292c69016d0e0c1fe7871640aab12dd95874d67c46cf3424822f8dfd	2	4909
29	263819352	d38417fcc27d3422fe05f76f6e658202d7fa394d0c9f5b419fef97610c3c49f1	0	4746
30	263819353	d38417fcc27d3422fe05f76f6e658202d7fa394d0c9f5b419fef97610c3c49f1	1	4746
31	216561944	66b614e736c884c1a064f7b0d6a9b0abd97e7bb73ac7e4b1b92b493d558a0711	0	4691
32	264739587	d985c42bcd704aac88b9152aede1cca9bbb6baee55c8577f84c42d600cfec8e4	0	4680
33	264739588	d985c42bcd704aac88b9152aede1cca9bbb6baee55c8577f84c42d600cfec8e4	1	4680
34	263912608	e32477636e47e1da5fb49090a3a87a3b8ff637d069a70cd5b41595da225e65b4	0	4667
35	263912609	e32477636e47e1da5fb49090a3a87a3b8ff637d069a70cd5b41595da225e65b4	1	4667
36	263912610	e32477636e47e1da5fb49090a3a87a3b8ff637d069a70cd5b41595da225e65b4	2	4667
37	265114419	bf40393fedc45a1b347957124ef9bb8ae6a44feecee10ef2cc78064fabf8125f	0	4663
38	265114420	bf40393fedc45a1b347957124ef9bb8ae6a44feecee10ef2cc78064fabf8125f	1	4663
39	266804439	1d93bfe18bc05b13169837b6bc868a92da3c87938531d6f3b58eee4b8822ecbf	0	4654
40	266804440	1d93bfe18bc05b13169837b6bc868a92da3c87938531d6f3b58eee4b8822ecbf	1	4654
41	265090229	79e30d460594694231f163dd79a69808904819e2f39bf3e31b7ddc4baa030a04	0	4625
42	265090230	79e30d460594694231f163dd79a69808904819e2f39bf3e31b7ddc4baa030a04	1	4625
43	265090231	79e30d460594694231f163dd79a69808904819e2f39bf3e31b7ddc4baa030a04	2	4625
44	265470478	4eba5deb2bbf3abf067f524484763287911e8d68fb54fa09e1287cf6cd6d1276	0	4617
45	265470479	4eba5deb2bbf3abf067f524484763287911e8d68fb54fa09e1287cf6cd6d1276	1	4617
46	264403924	c3f2c2df5388b79949c01d66e83d8bc3b9ccd4f85dbd91465a16fb8e21bf8e1b	0	4603
47	264403925	c3f2c2df5388b79949c01d66e83d8bc3b9ccd4f85dbd91465a16fb8e21bf8e1b	1	4603
48	265139939	446c0a1d563c93285e93f085192340a82c9aef7a543d41a86b65e215794845ef	0	4507
49	265139940	446c0a1d563c93285e93f085192340a82c9aef7a543d41a86b65e215794845ef	1	4507
50	265139941	446c0a1d563c93285e93f085192340a82c9aef7a543d41a86b65e215794845ef	2	4507
51	265139942	446c0a1d563c93285e93f085192340a82c9aef7a543d41a86b65e215794845ef	3	4507
52	265139943	446c0a1d563c93285e93f085192340a82c9aef7a543d41a86b65e215794845ef	4	4507
53	266842840	e0c5e2dc3a39e733cf1bdb1a55bbcb3c2469f283becf2f99a0de771ec48f6278	0	4423
54	266842841	e0c5e2dc3a39e733cf1bdb1a55bbcb3c2469f283becf2f99a0de771ec48f6278	1	4423
55	262065561	2e7c454cfc348aa220f53b5ba21a55efa3d36353265f085e34053c4efa575fda	0	4386
56	262065562	2e7c454cfc348aa220f53b5ba21a55efa3d36353265f085e34053c4efa575fda	1	4386
57	264641973	01d23d32bccc04b8ca5a934be16da08ae6a760ccaad2f62dc2f337eee7643517	0	4377
58	264641974	01d23d32bccc04b8ca5a934be16da08ae6a760ccaad2f62dc2f337eee7643517	1	4377
59	265469165	9f8cc4496cff3216608c2f2177ab360bd2d4f58cae6490d5bc23312cf30e72e0	0	4348
60	265469166	9f8cc4496cff3216608c2f2177ab360bd2d4f58cae6490d5bc23312cf30e72e0	1	4348
61	265540268	1e700d8ce85b17d713cad1a8cae932d26740e7c8ab09d2201ddfe9d1acb4706c	0	4297
62	263494558	9db4e0838c55ef20c5eff271fc3bf09a404fff68f9cdad7df8eae732500b983d	0	4294
63	263494559	9db4e0838c55ef20c5eff271fc3bf09a404fff68f9cdad7df8eae732500b983d	1	4294
64	264273274	763e13f873afa5f24cd33fc570a178c65e0a79c05c88c147335834fc9e8f837b	0	4233
65	264273275	763e13f873afa5f24cd33fc570a178c65e0a79c05c88c147335834fc9e8f837b	1	4233
66	266740032	b8ba939da1babf863746175b59cbfb3b967354f04db41bd13cb11da58e43d2a8	0	4227
67	266740033	b8ba939da1babf863746175b59cbfb3b967354f04db41bd13cb11da58e43d2a8	1	4227
68	264119205	f62f2c6a16b5da61eaae36d30d43bb8dd8932cd89b40d83623fa185b671c67f9	0	4199
69	264119206	f62f2c6a16b5da61eaae36d30d43bb8dd8932cd89b40d83623fa185b671c67f9	1	4199
70	264119207	f62f2c6a16b5da61eaae36d30d43bb8dd8932cd89b40d83623fa185b671c67f9	2	4199
71	264119208	f62f2c6a16b5da61eaae36d30d43bb8dd8932cd89b40d83623fa185b671c67f9	3	4199
72	264119209	f62f2c6a16b5da61eaae36d30d43bb8dd8932cd89b40d83623fa185b671c67f9	4	4199
73	263714230	6e278c0ca05bf8e0317f991dae8a9efa141b5a310a4c18838b4e082e356ef649	0	4141
74	263714231	6e278c0ca05bf8e0317f991dae8a9efa141b5a310a4c18838b4e082e356ef649	1	4141
75	265499838	e3de81a5817a3c825cf44fbf8185e15d446393615568966a6e3fc22cba609c7d	0	4124
76	265499839	e3de81a5817a3c825cf44fbf8185e15d446393615568966a6e3fc22cba609c7d	1	4124
77	265369787	b5ca68205e6d55e87bd6163b28467da737227c6cbcc91cb9f6dc7b400163a12b	0	4027
78	265369788	b5ca68205e6d55e87bd6163b28467da737227c6cbcc91cb9f6dc7b400163a12b	1	4027
79	263753196	9c972a02db30f9ee91cc02b30733d70d4e2d759b5d3c73b240e5026a8a2640c4	0	3991
80	263753197	9c972a02db30f9ee91cc02b30733d70d4e2d759b5d3c73b240e5026a8a2640c4	1	3991
81	264590229	02313ac62ca8f03930cdc5d2e437fabc05aea60a31ace18a39678c90b45d32bd	0	3895
82	264590230	02313ac62ca8f03930cdc5d2e437fabc05aea60a31ace18a39678c90b45d32bd	1	3895
83	264582938	e245f6c3c6b02dc81ea1b6694735565cc535f603708783be027d0e6a94ac3bd5	0	3856
84	264582939	e245f6c3c6b02dc81ea1b6694735565cc535f603708783be027d0e6a94ac3bd5	1	3856
85	265140926	1cf52f9ef89fa43bb4f042cbd4f80e9f090061e466cbe14c6b7ba525df0e572e	0	3847
86	265140927	1cf52f9ef89fa43bb4f042cbd4f80e9f090061e466cbe14c6b7ba525df0e572e	1	3847
87	265140928	1cf52f9ef89fa43bb4f042cbd4f80e9f090061e466cbe14c6b7ba525df0e572e	2	3847
88	263486205	461308024d89ea4231911df4ef24e65e60af2a9204c8282a6b67f4214c1714e7	0	3844
89	263486206	461308024d89ea4231911df4ef24e65e60af2a9204c8282a6b67f4214c1714e7	1	3844
90	262831211	fa5a58f787f569f5b8fab9dadb2447161fac45b36fb6c2c0f548ed0209b60663	0	3792
91	262831212	fa5a58f787f569f5b8fab9dadb2447161fac45b36fb6c2c0f548ed0209b60663	1	3792
92	215994922	d85ce71f583095a76fb17b5bb2a1cbf369e2a2867ca38103aa310cbb2aaf2921	0	3651
93	216016877	905df97982a2904d6d1b3dfc272435a24d705f4c7e1fc4052798b9904ad5e597	0	3651
94	214006448	ba31c8833b7417fec9a84536f32fcb52d432acb66d99b9be6f3899686a269b2b	0	3600
95	214771787	1b604a075075197c82d33555ea48ae27e3d2724bc4c3f31650eff79692971fb7	0	3600
96	262557403	92f217ec13ab309240adc0798804b3418666344a5cbfff73fb7be8192dad5261	0	3524
97	262557404	92f217ec13ab309240adc0798804b3418666344a5cbfff73fb7be8192dad5261	1	3524
98	262799330	22e861ee83c3d23a4823a3786460119425d8183783068f7ec519646592fac8c2	0	3513
99	262799331	22e861ee83c3d23a4823a3786460119425d8183783068f7ec519646592fac8c2	1	3513
100	213853826	ba6c6d2389f765f7873f5a9a7c11bf806afd784d15b0b8dff011fe95d1d5e841	0	3418
101	215237258	fa9120afe1bb09b7154ba82a022cbdcc29fc5be2699b346ebb7ffdc46807b2f7	0	3411
102	214104496	9cc0a350d50fa252264636e62d586c7121d0a5656bc7e6b27354325684bec007	0	3390
103	214191268	dd5e32971010ef0c9f4cda8977830d727a6828165c69005a3fab67415c755b7d	0	3390
104	214245327	66be4e766df2c23e08f4cf8c3e6cfa202b20967616ace38e1cbc1f20ee78db2e	0	3390
105	214279039	e229a83deafec5f49e4990dba914fd815d05809f5eefbd979d55fb64f93827a3	0	3390
106	214335251	901e3695838925dd020a085e8f078c393e64179dcf0a43134a1547d21acab49a	0	3390
107	214394582	49ab4d05adbc3294fbbd63d3b876fb97a87a3f5090aa6b1d87f31ab1c4564235	0	3390
108	214465855	c4f4357657ba403455167b2897acfcb922c2a0973c34e58733ca352394e6c629	0	3390
109	214478249	6c3ee29a9b584fbeae60169f0abce573a7b768bf21398d4dfad9011aa7132530	0	3390
110	214539823	5dc2bdc5ce29c52840f10203fd93ffed82da4cf49eddf93437dd1329baa9ade5	0	3390
111	214569691	f40fd92f5e8cecf956caec4b6abe0b88decafde0ae71d16a72c41cb1a3da0d60	0	3390
112	214580907	92b68e4a19ef47c0dd022727a9c4b8ceb9466ce752ad8995ffbc5948bdfabf57	0	3390
113	262504690	e3d3d1ecec5d6b57792c793c413fc9b19189f5b932db8887d46f06abc101d24e	0	3314
114	262504691	e3d3d1ecec5d6b57792c793c413fc9b19189f5b932db8887d46f06abc101d24e	1	3314
115	262504692	e3d3d1ecec5d6b57792c793c413fc9b19189f5b932db8887d46f06abc101d24e	2	3314
116	263993262	a7e0a86944e9750a3fe372dd318da7b81c4f4c4ab228741ba0cf7fb6d56d6640	0	3250
117	263993263	a7e0a86944e9750a3fe372dd318da7b81c4f4c4ab228741ba0cf7fb6d56d6640	1	3250
118	263993264	a7e0a86944e9750a3fe372dd318da7b81c4f4c4ab228741ba0cf7fb6d56d6640	2	3250
119	213791782	ba588134ecc93fdbfa06f795c9bf7a05b09ca9ca9095659e401325d501a90363	0	3116
120	265090738	26ed04bd772c7d3d621329bda8eefec9f81108d46ef0bd3b690000465f5254b3	0	2976
121	265090739	26ed04bd772c7d3d621329bda8eefec9f81108d46ef0bd3b690000465f5254b3	1	2976
122	215964215	7e7e69b4de5ef05750d27a863bdcb2d9dbc4a732c2a719f435ae5a9a4690b30f	0	2853
123	262529269	b23c99c30339cb93eb04790bc5213f7732365488fe2549802bb472084b6ec508	0	2810
