rank	node_id	tx_hash	in_degree
0	78357605	52539a56b1eb890504b775171923430f0355eb836a57134ba598170a2f8980c1	20000
1	78361634	30b3b19b4d14fae79b5d55516e93f7399e7eccd87403b8dc048ea4f49130595a	20000
2	78361907	cf1032c2213e6faea04f1813aa6890e7f588bb378cb98e7425aec83c11d4457c	20000
3	78364749	c9fe64681c9a12795586a3ae7c5e94b585032f67847c7f9c42e1b979a1e2959b	20000
4	78371003	8dabbf51f78c1e7286866af1de403118c5ddbe57ca93b54859245916d2bf1063	20000
5	78373101	f2e197a6d8d088b13afd0f99d4027da36a9413b9f3d7730ba5278132ebc950a7	20000
6	78376717	740ac533882221099e7202bbdafbb99ec589c6e74fd2fe7ca1274b46ea4f0a96	20000
7	78377472	dd6067e71c04cb62f8e5aa52ecc99b01ffcd551a52727d046a2fabb14eb39b4d	20000
8	78382091	5f4d2593c859833db2e2d25c672a46e98f7f8564b991af9642a8b37e88af62bc	20000
9	78356544	63ad681f1577a7541b3659a9ba21459466160a0cb6d5e068a0a53355489a2009	9997
10	75596420	9c667c64fcbb484b44dcce638f69130bbf1a4dd0fbb4423f58ceff92af4219ec	6316
11	75121805	14dd70e399f1d88efdb1c1ed799da731e3250d318bfdadc18073092aa7fd02c2	5569
12	75158303	a684223716324923178a55737db81383c28f055b844d8196c988c70ee7075a9a	5455
13	75412532	cb550c9a1c63498f7ecb7bafc6f915318f16bb54069ff6257b4e069b97b367c8	5113
14	75304004	5e640a7861695fa660343abde52cfe10b5a97dd8fc6ad3c5e4b2b4bb1c8c3dd9	5000
15	75126451	bb75a8d10cfbe88bb6aba7b28be497ea83f41767f4ee26217e311c615ea0132f	4777
16	75121803	5d8875ed1707cfee2221741b3144e575aec4e0d6412eeffe1e0fa07335f61311	4605
17	75437043	66b614e736c884c1a064f7b0d6a9b0abd97e7bb73ac7e4b1b92b493d558a0711	4310
18	75383753	5b0a05f12f33d2dc1507e5c18ceea6bb368afc51f00890965efcc3cb4025997d	4154
19	74951010	bb41a757f405890fb0f5856228e23b715702d714d59bf2b1feb70d8b2b4e3e08	3947
20	75587346	9fdbcf0ef9d8d00f66e47917f67cc5d78aec1ac786e2abb8d2facb4e4790aad6	3942
21	87943252	f62f2c6a16b5da61eaae36d30d43bb8dd8932cd89b40d83623fa185b671c67f9	3917
22	75334640	d85ce71f583095a76fb17b5bb2a1cbf369e2a2867ca38103aa310cbb2aaf2921	3651
23	75345237	905df97982a2904d6d1b3dfc272435a24d705f4c7e1fc4052798b9904ad5e597	3651
24	74971307	ba6c6d2389f765f7873f5a9a7c11bf806afd784d15b0b8dff011fe95d1d5e841	3418
25	88293719	446c0a1d563c93285e93f085192340a82c9aef7a543d41a86b65e215794845ef	3240
26	75322710	7e7e69b4de5ef05750d27a863bdcb2d9dbc4a732c2a719f435ae5a9a4690b30f	2853
27	88165963	d985c42bcd704aac88b9152aede1cca9bbb6baee55c8577f84c42d600cfec8e4	2745
28	74953973	ba588134ecc93fdbfa06f795c9bf7a05b09ca9ca9095659e401325d501a90363	2606
29	87834311	d38417fcc27d3422fe05f76f6e658202d7fa394d0c9f5b419fef97610c3c49f1	2482
30	90656367	6a9263e48a076bfc37deb93d01bf354305f4ac929be6b0ca05c078381a562c0c	2476
31	87998553	856a2117b6d81acbe6add60a114307d9572dff027079151d50ee77a7b0c70404	2473
32	88417889	1e700d8ce85b17d713cad1a8cae932d26740e7c8ab09d2201ddfe9d1acb4706c	2452
33	75074151	6c3ee29a9b584fbeae60169f0abce573a7b768bf21398d4dfad9011aa7132530	2404
34	75077982	5dc2bdc5ce29c52840f10203fd93ffed82da4cf49eddf93437dd1329baa9ade5	2395
35	75057830	901e3695838925dd020a085e8f078c393e64179dcf0a43134a1547d21acab49a	2384
36	75065548	49ab4d05adbc3294fbbd63d3b876fb97a87a3f5090aa6b1d87f31ab1c4564235	2384
37	75079541	f40fd92f5e8cecf956caec4b6abe0b88decafde0ae71d16a72c41cb1a3da0d60	2379
38	75037661	dd5e32971010ef0c9f4cda8977830d727a6828165c69005a3fab67415c755b7d	2367
39	75046564	66be4e766df2c23e08f4cf8c3e6cfa202b20967616ace38e1cbc1f20ee78db2e	2365
40	87837402	773c0877324603aef882a2861b41feb7a454966c2f9481d3d7152fd7e1b282aa	2365
41	75082104	92b68e4a19ef47c0dd022727a9c4b8ceb9466ce752ad8995ffbc5948bdfabf57	2364
