rank	node_id	tx_hash	out_degree
0	101172926	dd9f6bbf80ab36b722ca95d93268667a3ea6938288e0d4cf0e7d2e28a7a91ab3	4340
1	139636518	8a6c868d32cdc9a4b3f561034939dd4662411eb50ad158e16b1afd725e67b40d	3589
2	183785588	bd4bcae76d733b8af71e2e3da49ef09491a22115c3eebc5b08afbc6a51dbf5a9	2967
3	234556085	b12d17b0eaec36d1a4edb5d4bb8616d961e73c2609469decee55b394b46899b7	2816
4	108202831	77614b39b5d4ae73ce2500d4dfef61abfecff2c9e8f0554da12e81d0071a7002	2647
5	99544805	568df930d2f7c930c0c31cc13a09f140ee541bd1859b34f59cb2a600609dd84d	2642
6	107783436	1fc8c46322e5efda1a9d9e1d95ff90e447cf73ec0113e1669eaec4a11eb6fce4	2612
7	114020100	e95fc1de95365bb996a94f3bd43c55fcfb4c3782a958a583495408aadb0a5b93	2595
8	107985367	bb7238a976c1d4a05bebc27b1e77c9b7ccb3bea033cc825316e5e8294dfc75dd	2573
9	115577431	7cc4ca8e7194b7e3ff194ce549102692157a553b09825a629ad7e0c1702b7d6b	2536
10	107586905	2891508fcf3636a939d7c7bcecf56b65dedb17eb249f61cb8fe13b206a6fb186	2508
11	98894869	57a78d56f2524812b8291e19c2f211684f80d47c91a3c66802f9afbafb966e23	2500
12	99089800	59c83e3f968680c5314d3f55ad04f9b33e0d59a9eaaa10089abcb0615a65ea60	2496
13	49825440	77733aa715762152255aa07ff95e086ad89babfa8ec892463a5a8397956bd79d	2483
14	30069792	4c9862f72f3a8783a0e8aa4f0a0f53622840062af5137013578042cb1019be62	2481
15	29915289	e7229316b5a5b1f53382ec5a526b842dda2ca96bc891cd02d397a52c4a84dba0	2457
16	30223842	3133769dd98182d5f5c4eb1b73ef5735c511eb6592ee79b7875bb957526514eb	2457
17	30120737	ad84fce0520a1c57c5c7fd280a00e6b690fc1164442524977af0fb75bd34d4c2	2456
18	48270796	e951e79d2140b1844d5058bd0f609e3939b040132a1d920ec89c55a2392ef83f	2454
19	29972403	5a7ae42c45c5673bdce81ba0834a4339cfdac1dc388594099b5083322deb9906	2449
20	31293013	d5ca261734033fe0420358f80d7d8176c2b5940d7d7732eb06b9a5d1f5d72b36	2449
21	48493719	2182e020a93aae229b20f0bc0c8205a63d8caa01e72ec0cc3602ca9c245268fb	2448
22	30499115	37fb99cb921b6077f804d3b0dd14b1dcb8cf29822af5ec2905b3336bdca1b517	2447
23	30021095	483bd83528966008b8fbe983c5fdaf4a013eea80c682270ca61f240232475d51	2445
24	30961154	fdf903a2040d7cd897222d1557261b3b562b94517642391822cc3ada5982e121	2445
25	50269567	428e464e458e9255c0e4fe7d7a65aa0b910678298431a3cd52c9d319762cf3d8	2445
26	31017917	e50c428bd7d645f1493212be07d6c0b0a0fdf9e96a3a509f911932af4faf4db1	2440
27	30176996	56a1d13759ccd037dac513aa4c8857be026e6cae2bc3a658080837cac1d66278	2439
28	48318433	e0b378816891d6435b8ea5d5392bea43797efc908b0de7e104bdacd55c568008	2435
29	30324662	6e7ce3330e7350d2db3edcb8c9048c42dca10b0bfde557435f99f90e5fa6c240	2434
30	31192929	e5a9a9a41a484e99ffb1812fa3b9520f065da8c26a785664a9048eb294b3bdea	2434
31	31084782	9e7012d50e579971928c9f141a82b6dae303ceeec7b38d84b609ed8934247302	2433
32	31435907	4a8236cad30702636846b0debc55ff18e982f703a11607ab73286d2a49dc5901	2431
33	49918788	4c15dbfa7e85a81a74be555b2a8675990b594bfa6672a857d305f53f5b7fe470	2431
34	50189777	3af63570282f288463a9627de008feef06a1ef5ff36d96e785dd5b7a650cc856	2431
35	30268792	fb5f8e20bc7a950fc4d99a79db8acef77780067464e112733aa9a8a3f78192de	2430
36	30436252	5d500d2d57269ff46d9c17e769ca92dfde36404cd528d7e22233866a4e74a08a	2423
37	31358248	27db4fbed7bc7d67383f46b4b05f22c5723313adc1f808103d079475a6e408a9	2423
38	50096471	2ba6d58b3dea4309ccba98c7d1ed563c0f5ec1a45067ac7fc62be6740ead31fd	2423
39	49079691	499145d7cb2dbf0230a1752ceaa81fa8b9e478a19405dbc5bc9abcc2ec60e674	2422
40	49445957	fee1b9b3dc794b9e1d24281da4cc557cf1eadf46e3a1c4d73c0047d1a02b9c1b	2421
41	124762803	1bfb5bafae76fddea53d4d67599266241c4ef742cbb9cba1dee6623050fec8fa	2420
42	31135558	0a0b865057b04eed6de3aa9574b650bf57e7ecc3577fd09891e70168d5226b07	2418
43	31560175	db8b83b630c6342633ea593dbd99f2c0d6eefe3fcb9c3759de80c1248b6be347	2418
44	99334363	4f7c7a42ad493f0cfa79dc136fbc588e48cfcf215d60c3a0d02eae8a0615849e	2417
45	30564071	94e129713ae0e9a8bfc17804bb4c7c24863b731f86f55541a4f952d0dc7cc09d	2416
46	49523836	3f923467e34b9ee2f909b12927cec8bedb687ca9da6a72a17bbb09f5dee69862	2415
47	31499677	e289b78158c3e1f8b0a385a607835237b00e297c0725ea25f8012266f580cb22	2414
48	48408724	524068013401f10126bd9669a4e10915578af7771eba5250a6569c5252ff488e	2414
49	30804853	00454b7ef49f45e8d9aaaa6206d70cf651603cd9c3b6fc188efcf99ca37869b9	2412
50	49363620	4311cb5ffcafd3399d4be5b49af6998c5ad5f9c284d2d114fa6f9351d5432cc9	2412
51	30383784	20cc3669865e0fe2e626ecac8bcc7fa29edf1dcde9c86b43d2bbb8d6714ff436	2411
52	49605142	d6053fa11c6c3fdbf1bf3b3670b93ab948a6fd6ffb330867115413293e6bd866	2411
53	124163682	9fab09e42af1ebcf89bcc1e1884bf999f65d013d1737c6e8642ee17624c86aba	2407
54	31243698	da8eaebe237bd65c98b7e5c0db17bf8c7c56c2f6dd097ab5448f4dffd0792505	2405
55	113191411	6f0b8daf867fa5e53cdfdbea73baa78a0c7306730d65fe09e2d98a4bb11d10d2	2405
56	115773909	34ede2f550676c18fde7a130a6dc0c2b7bbbd9712606cf360532d6a4653dae8c	2405
57	30859445	666ede308c377805e98d62c2da600ac6ba2b07369b6a05779677630bda2d33ec	2402
58	49214967	692c298d8a8655250d1e3c8be09e278be31d6d2b436627fd4673ce7ba0b96f54	2401
59	29868583	e6de62a64212246f61404b091b9250c054d508d37c724d9ac6d98e565a8af504	2400
60	50418220	174ba95c97a084a14844e3dc9eea5c565296a21b4e48fab6d23bd1df55f43081	2398
61	49162835	f81941b744e85311bce389ce40df3995119fc8ade0a1f9c29f19889d323212ed	2396
62	48560630	58cb5a00f59a47d1d4986509369d527b3d84eaf8e8d697b989449d1467cf733b	2394
63	111004320	ec46ca565db2f615b0a80f6528b3bb59dbfa0f606b008783972459daa7e8bb39	2392
64	29804917	9f272cdfe92b4e6029e251b5d9af559896e78208c78aec932299e36e659758ef	2390
65	49282654	eae092b0bef59265d8cdf0ce72a8ce14c828ef1d86d989a519b54d150d3c6d4e	2390
66	49756221	1f887d09c7a3cf5d0f1919646a6456425452af16e81c2789e67c2585843a1e5f	2387
67	29645529	c4fe35b295867b251b16dcca72f0a816fb91d08f1b31e7cdd04cab08d68f7087	2385
68	122709220	c73d064958906f3c750ed903db98ef304dff74ae17a607352c6aa612b96aeb9c	2385
69	31862131	b1af8d738a52e3249b42e9716691b9f41fa3808624f6c0c637938b4c9717ed39	2381
