rank	node_id	tx_hash	pagerank
0	227616286	e917bcd15bf766d5159cc97b4ba313d18e23e79bdcb10a09831143c793e1c538	0.000135175101389
1	40581095	7ecad9a3e67bebda52c0bdafb53863938b86e30e58eb179aec747903b50baa2d	0.000115403893154
2	227620241	2a3d3ef1819c33907dd27635192b4d8323010f86bd26eca4cefed484427fb170	0.000115362690376
3	41738946	9e95c3c3c96f57527cdc649550bf8e92892f7651f718d846033798aee333b0c3	0.00009809395214
4	227624683	cd389f64d80829bfef75caacb63a6e8f7c038367f4956253b75ee1e5753bb03d	0.000098059079021
5	201573901	5e156414ece814fa95f71f4c68de0d3ddf9535195654e3c1d89963e7a25828b8	0.000097581506886
6	228850622	b7c40107a00eeab17463f464c62b0feddfd64b8e80394b5d945abe7379983fca	0.00008146285706
7	230630778	f09baa8ad392147dec0466649bcf6630e57155f19304dc99bdb7e8d6e2e091f5	0.000072021576778
8	138625913	75efa6a3f9f681259573830c811d9880daa8b23ee482d31099027f2adef54a4b	0.000071212326466
9	237635854	5bb544ad0d6b78654c57467a44e9f1e6d7f8d7b44aab9c0f15b5acbc90335819	0.000068317667182
10	236255430	a6d9378bdbc061060fb8f3920640cc02b3df27446df1933ac8a7ea906c9d9780	0.000066130148968
11	236760134	041ca6e8101aba2e8d572c47fe5ce3f8bc6a0b4085bf8623bb934ce75860f0ec	0.000065368940456
12	46368096	c4bc921493e9eda6dbf541883a681640f8c376367bcdb8011b177c4bd683eb57	0.000063391684675
13	201264471	7b903eaf3dc5755d50a877f61478fad1b9ba7b4c051d8f6ced0564c4fccedd98	0.000062035335368
14	240299067	1165af0217e5f62b1923d86237206f927c2db63ca29bacc717c7366cfc10b9e2	0.000061099377389
15	141355024	bda5db1ce7579e0b641263f9154bf367640ba5cd6bb85aab96978632b1dd62d1	0.000060531120455
16	241221533	a1befd3d09da8ef3d7585f1b49d88cb64742fa0459c74cab4f2739e78f3a8a43	0.000059752875715
17	238580042	b6518da207966ca5646bd4718072b1ec983f93b445a05d3013c155ce7bba38a8	0.000059074885711
18	243296117	5d874a6508113da0d7615f506d9de40a2c0c133f38ac66dc8687847e3d22abf1	0.000057073640034
19	236882398	4b580f09a1d7c48b1559e543e4b2e17cfcd5fbc9df8fd8fea2056f481cd0b193	0.000055564242347
20	236503524	2e6178519d2b858607f2f281f497e71d43b2730118ae52f81e7524193450033d	0.000054989844479
21	228786706	52b4b0200af1e3f75d48e0f497d1052b6ee964f113bcb2448e6c1f139fd3ca1b	0.000054373652096
22	134228395	33b8dc0e8ad48ebfe3f7812f9cbe3c531c174285b0c8c4fdb5defc69bbb607cb	0.000048490028684
23	201619198	3fd53710a0c369f9528f12f4d0dab5b9b738c93c22ef17684d01ae37a11c0d81	0.000043989526298
24	232861370	ab6d79014b079b398a83ad73aaf07f471c83721a5e5d7083b3bdbecaa0136ff3	0.000043958958396
25	101351619	66a7b5b29556542cc316fbd1ca418018d82dad7fe62b666482931227b6915604	0.000043911348845
26	158689825	9e19cd54b28a01d8f381919905cd45e536995ac035a9ec47872f8235debcc779	0.000042488602923
27	85119221	40dbe75fef6b23e784c9893c875b5f05b17b7c7d98e3233eff659fc8453978af	0.000041954352585
28	145470018	4223a6a665591348a733536fa7a3164f1dc68be4e024424193981b131945fe12	0.000041734334489
29	48938858	0e8d8c4d9206924051b26b8dfb4db34b5fffae89b8a2f2772b626c3e828cb8d3	0.000041690572619
30	46368095	5aa759328188d5de57fb140529505c8fffe61bcb67bbb54b01ac9fd268870b25	0.000041309318722
31	234724023	cf84065be4e4cb3b125abb207b8c104f7ba01a5915d16abcb4900a18d4ca6706	0.000041011077855
32	235080386	78e4b9f1bdd179454b1a3a048bb201f0c962aa9016f45437fbb84e5092e2b4e8	0.00004017180895
33	233049037	b942b8567c13b8a7755a6596d86901ab193f35097dd63d15308d38932390ac77	0.000039529804853
34	76955809	ca0447b99a1fd68fc157b9cd45343f4793ec9d47818d0375d51675113110d99a	0.00003924523453
35	76117960	f3fe44a3eca844d1bfeeb8780596498c5e94766b3f87b2f9264c36880da4b7fa	0.000038450769236
36	202255684	f3c7d9c1f53ef69534be217f7ab658881dcc84d3b936354afb8b5ed7b54f1213	0.000036923560233
37	234806464	6c3344826cc46a8fb3c0fce7bf9dd0a099378902d14e51241508c7b449ab64e5	0.000036732678305
38	151532768	aad64f5617349bc448efbd7b9d6d7fe254b5c518fbbacc79648b381923947447	0.000036138689571
39	158754655	d048a4ea6c75ca52af27ce9a9b7faf43134977baa5020a21a7e50a381aad897c	0.000036115955444
