rank	node_id	label	in_degree
0	2208237	null	5243386
1	66158	ePay.info	3133999
2	7320876	Xapo.com	1844381
3	12301509	Poloniex.com	1711542
4	30579344	null	1614542
5	17990151	BTC-e.com	1486843
6	19306243	null	1298877
7	13219122	Bittrex.com	1181689
8	19495083	Huobi.com	995342
9	23118763	Cubits.com	917635
10	75670555	null	862816
11	2424011	AnxPro.com;CoinTrader.net	835977
12	84257830	null	784591
13	31839650	null	778065
14	26834380	null	769981
15	1173863	null	683404
16	5725760	Luno.com	676944
17	11024643	AgoraMarket	636490
18	13064777	null	551330
19	2541418	SilkRoadMarketplace	527707
20	48813691	LocalBitcoins.com	512899
21	43422015	null	511522
22	744555	null	492484
23	26763103	null	448307
24	62515882	null	446573
25	77152912	null	445578
26	13741816	null	430280
27	8197113	CoinPayments.net	422211
28	11816843	999Dice.com	409369
29	11068091	CoinGaming.io	404496
30	20296198	BitoEX.com	384061
31	67123596	null	379826
32	42310612	null	373321
33	24493654	Bitstamp.net	372304
34	55566459	null	368512
35	6953516	null	361877
36	9057224	null	358121
37	8944551	Cex.io	345609
38	20239027	BtcTrade.com	341596
39	2267636	SatoshiDice	336295
40	10221172	BTCCPool	332481
41	52281550	null	331707
42	10071389	SilkRoad2Market	325934
43	37133779	AlphaBayMarket	321442
44	41801418	null	308394
45	47270937	null	300359
46	20664462	null	297859
47	28991804	Cryptopay.me	295759
48	57514994	null	294351
49	16493538	CloudBet.com	280138
50	10787549	NitrogenSports.eu	275653
51	22116220	NucleusMarket	275647
52	12373599	EvolutionMarket	269483
53	1244271	null	266900
54	8973729	BitZillions.com	261456
55	35018567	null	260511
56	73449800	null	257863
57	121020208	null	257231
58	25805047	BTCC.com	250564
59	74877657	BitPay.com	247982
60	36847106	null	247973
61	32248205	null	247036
62	24026673	YoBit.net	236125
63	27804627	null	232997
64	75579381	null	228449
65	30188476	null	217096
66	124495457	null	216603
67	83895466	null	216298
68	8081852	OKCoin.com	214446
69	1752408	BitcoinFog	211684
70	98331139	null	211603
71	42488907	null	211355
72	10056491	null	207891
73	46807273	null	206117
74	18864808	SatoshiMines.com	203187
75	67758864	null	201256
76	6313971	null	200836
77	18425540	null	199502
78	311420	Instawallet.org	195993
79	9676219	Bitcoin.de	195937
80	20770196	null	185404
81	16445712	null	183895
82	71861979	null	183315
83	15449980	BX.in.th	182288
84	28676143	null	181852
85	106353143	null	180733
86	31596173	null	176392
87	8807258	Kraken.com	175760
88	31451949	null	175163
89	34863414	null	174674
90	34863413	null	174605
91	18271779	Cryptsy.com	171489
92	45402386	null	169952
93	23787170	null	169699
94	35429985	null	168390
95	117317464	null	167226
96	16365047	MaiCoin.com	165933
97	34863423	null	161847
98	34863405	null	161833
99	34863409	null	161810
100	34863406	null	161797
101	11467543	null	161579
102	52163957	null	161211
103	34863408	null	159387
104	41069274	null	159163
105	34863421	null	158236
106	34863407	null	158225
107	34863410	null	158068
108	34863401	null	158016
109	34863415	null	158003
110	34863402	null	157998
111	34863404	null	157931
112	34863418	null	157925
113	34863422	null	157833
114	34853750	null	156555
115	21539181	HaoBTC.com	153309
116	20600709	null	150953
117	132951927	null	150594
118	58840318	null	147905
119	52438521	null	146362
120	93115052	null	145542
121	23238060	Cryptonator.com	141698
122	17943928	OKCoin.com	141587
123	56337596	null	140482
124	43556286	null	138467
125	62895702	null	138318
126	3857667	null	136716
127	19386686	FortuneJack.com	134934
128	59686948	null	134819
129	17702294	PocketDice.io	132164
130	23765935	AbraxasMarket	132102
131	49550049	null	128502
132	52294284	null	124102
133	18103338	Hashnest.com	121994
134	53234531	null	120504
135	26634971	null	120126
136	44472154	null	118601
137	1342559	null	118144
138	7154946	CoinJar.com	117739
139	14866475	BitBay.net	115476
140	58781935	null	112933
141	89109677	null	112113
142	34863416	null	111065
143	29682797	null	108087
144	24516938	null	104148
145	38467525	null	102177
146	592892	null	101926
147	8884400	null	101825
148	108306105	null	100596
149	113441433	null	99128
150	53566924	null	99043
151	90535952	null	98501
152	12877787	MintPal.com	98192
153	52042231	null	94458
154	10535119	null	93495
155	22756398	null	91557
156	78281782	null	89323
157	20014487	Rollin.io	88917
158	15223609	null	87999
159	70566694	null	87509
160	15394314	null	87302
161	31423709	null	86773
162	46716635	null	86480
163	46656627	null	85976
164	40890543	null	85083
165	33289896	null	84578
166	2481794	BitZino.com	84305
167	105824452	null	84248
168	1048469	MercadoBitcoin.com.br	84236
169	12981971	HolyTransaction.com	83338
170	1606088	SealsWithClubs.eu	82872
171	19939904	null	82702
172	104849620	null	81158
