rank	node_id	label	out_degree
0	2208237	null	4470640
1	66158	ePay.info	2383013
2	7320876	Xapo.com	917864
3	12301509	Poloniex.com	805281
4	3446364	FaucetBOX.com	505788
5	9057224	null	475517
6	55566459	null	446145
7	13741816	null	430234
8	2424011	AnxPro.com;CoinTrader.net	355012
9	25506516	MoonBit.co.in	349783
10	30579344	null	332016
11	24493654	Bitstamp.net	326112
12	19495083	Huobi.com	317978
13	2267636	SatoshiDice	314419
14	28207429	null	306155
15	84257830	null	263693
16	13219122	Bittrex.com	254623
17	23190090	null	208504
18	45402386	null	205632
19	93503978	null	203105
20	37615026	null	202442
21	18662748	null	186678
22	11816843	999Dice.com	184220
23	42310612	null	179090
24	9676219	Bitcoin.de	174810
25	14671729	null	169951
26	22116220	NucleusMarket	158041
27	6953516	null	148753
28	75190572	null	142492
29	11024643	AgoraMarket	135116
30	1244271	null	128648
31	17702294	PocketDice.io	126666
32	17922664	null	124511
33	61573508	null	121759
34	26634971	null	120618
35	788692	null	119079
36	789737	null	118908
37	19979224	null	117932
38	29657377	null	112581
39	35843379	null	108030
40	2113642	BitBargain.co.uk	106121
41	59686948	null	103813
42	36997567	null	101749
43	8944551	Cex.io	99675
44	13012274	null	98975
45	8197113	CoinPayments.net	97188
46	21695167	null	96353
47	4297858	null	95020
48	24026673	YoBit.net	93875
49	13006195	null	93811
50	15536404	null	93101
51	33836967	null	89400
52	29682797	null	88269
53	8973729	BitZillions.com	82007
54	1173863	null	81491
55	37156716	null	80968
56	16445712	null	80768
57	10787549	NitrogenSports.eu	76209
58	37591665	null	74702
59	2541418	SilkRoadMarketplace	72776
60	38799630	null	72684
61	31451949	null	69509
62	6907860	CoinBox.me	69229
63	37133779	AlphaBayMarket	68329
64	7154946	CoinJar.com	67292
65	18271779	Cryptsy.com	67181
66	283511	VirWoX.com	66117
67	15449980	BX.in.th	64579
68	73569821	null	63828
69	18864808	SatoshiMines.com	62388
70	1342559	null	60804
71	71311232	null	60611
72	20008679	null	60443
73	27072840	null	59497
74	75579381	null	58682
75	65895376	null	58312
76	2404764	null	58132
77	27114044	Paxful.com	58077
78	22816911	null	57435
79	8807258	Kraken.com	57062
80	58840318	null	55055
81	77733609	null	53838
82	25805047	BTCC.com	53652
83	35677550	null	53491
84	20759025	null	53180
85	54230536	null	52297
86	37806710	null	52043
87	71861979	null	51859
88	71561193	null	51373
89	53234531	null	51327
90	10071389	SilkRoad2Market	50987
91	10544297	null	50917
92	45964947	null	50389
93	2313022	BTCGuild.com	50363
94	22756398	null	49276
95	39744796	null	48329
96	46044589	null	48237
97	61788178	null	47613
98	6313971	null	46609
99	13326657	null	46446
100	34151939	null	45158
101	25409060	null	44568
102	52438521	null	44199
103	29893951	null	43566
104	27240506	null	42754
105	12877787	MintPal.com	41837
106	2654760	null	41466
107	15394314	null	41458
108	48813691	LocalBitcoins.com	41332
109	3891709	null	40924
110	8884400	null	40187
111	19306243	null	40002
112	55860590	null	39940
113	75670555	null	39180
114	21539181	HaoBTC.com	39140
115	40779637	null	39044
116	18573405	null	38831
117	25880559	null	38519
118	10535119	null	37979
119	17990151	BTC-e.com	37959
120	23041684	null	37872
121	20014487	Rollin.io	37397
122	12373599	EvolutionMarket	37329
123	53957141	null	37090
124	31596173	null	37046
125	18287832	null	36586
126	11467543	null	36543
127	6514027	null	36295
128	18103338	Hashnest.com	36108
129	5496718	null	35964
130	32259252	null	35688
131	62963991	null	35270
132	7367221	null	35107
133	106080620	null	34983
134	19757844	null	34774
135	63152733	null	33897
136	70206152	null	33478
137	1785648	DeepBit.net	33293
138	23238060	Cryptonator.com	32861
139	51561436	null	32485
140	19386686	FortuneJack.com	32350
141	12981971	HolyTransaction.com	32142
142	28596640	null	31899
143	21409215	null	31713
144	8556811	Purse.io	31712
145	19874290	null	31589
146	19845334	null	31508
147	30739518	null	31307
148	11345230	null	31227
149	105824452	null	31008
150	31841223	null	30979
151	311420	Instawallet.org	30962
152	26942021	null	30521
153	39673000	null	30079
154	21201214	null	29661
155	23765935	AbraxasMarket	29549
156	11068091	CoinGaming.io	29414
157	38780458	null	29097
158	14631111	BitcoinWallet.com	29072
159	16365047	MaiCoin.com	29040
160	54943548	null	28850
161	23118763	Cubits.com	28774
162	592892	null	28336
163	89310458	null	28217
164	2136171	null	28179
165	20576698	SecondsTrade.com	27957
166	11875609	null	27903
167	86205922	Cryptonator.com	27848
168	61216307	null	27779
169	37190548	null	27317
170	9345419	null	27200
171	9115666	Paymium.com	27057
172	46716635	null	26374
173	20891954	null	26285
174	32379163	null	26279
175	21112271	null	26251
176	94213702	null	26003
177	3021250	null	25918
178	28213916	null	25765
179	18000144	null	25659
180	104849620	null	25545
181	13137235	null	25278
182	44516183	null	24980
183	28325795	null	24878
184	20305177	SlushPool.com	24828
185	18611735	null	24587
186	106628279	null	24442
187	15507352	Genesis-Mining.com	24429
188	14174762	null	24404
189	14947129	null	24087
190	15636808	null	23948
191	9134796	CoinKite.com	23770
192	53566924	null	23626
193	50902173	null	23281
194	52448319	null	23196
195	18269107	null	22848
196	6553962	McxNOW.com	22780
197	18818206	Bter.com	22714
198	29436194	null	22714
199	24940332	null	22593
200	20965296	null	22574
201	2481794	BitZino.com	22413
202	44119279	null	22402
203	68213422	null	22339
204	4323111	Justcoin.com	22240
205	35456185	null	21920
206	43556286	null	21819
207	39494727	null	21730
208	1724336	BitMinter.com	21710
209	29539369	null	21355
210	122586750	null	21313
211	20600709	null	21288
212	21466862	null	21181
213	1062470	null	20813
214	26889649	null	20515
215	22246898	null	20433
216	18243761	null	20430
217	7929519	null	20358
218	26654453	null	20241
219	64967696	null	20224
220	40564986	null	19990
221	6829919	Vircurex.com	19898
222	16484193	Matbea.com	19862
223	222803	null	19761
224	31373274	null	19738
225	64220803	null	19610
226	1048469	MercadoBitcoin.com.br	19504
227	2742023	BtcDice.com	19201
228	27730589	null	19153
229	28199882	null	19145
230	80309658	null	18876
231	106223334	null	18874
232	22386680	null	18747
233	28052561	null	18742
234	2972646	GHash.io	18503
235	40522873	PrimeDice.com	18400
236	39986671	BTCJam.com	18349
237	39812899	null	18299
238	24220107	null	18250
239	7321972	null	18236
240	9576609	LuckyB.it	18234
241	39812908	null	18200
242	11322916	null	18061
243	31722248	null	18003
244	744555	null	17975
245	52163957	null	17916
246	62585285	null	17899
247	23121250	null	17614
248	10582796	null	17530
249	24324567	null	17519
250	10407614	Bleutrade.com	17434
251	49937036	null	17333
